id_partido,Ronda - id,Ronda - nro,Equipo 1 - id,Equipo 1 - nombre,Equipo 1 - descripcion,Equipo 1 - cantidad goles,Equipo 2 - cantidad goles,Equipo 2 - id,Equipo 2 - nombre,Equipo 2 - descripcion
1,1,1,1,Argentina,Seleccionado,1,2,2,Arabia Saudita,Seleccionado
2,1,1,3,Polonia,Seleccionado,0,0,4,México,Seleccionado
3,1,1,1,Argentina,Seleccionado,2,0,4,México,Seleccionado
4,1,1,2,Arabia Saudita,Seleccionado,0,2,3,Polonia,Seleccionado
5,2,2,5,Catar,Seleccionado,0,2,6,Ecuador,Seleccionado
6,2,2,7,Senegal,Seleccionado,0,2,8,Paises Bajos,Seleccionado
7,2,2,5,Catar,Seleccionado,1,3,7,Senegal,Seleccionado
8,2,2,8,Paises Bajos,Seleccionado,1,1,6,Ecuador,Seleccionado
